id,user_id,event_id,action,rating,created_at
1,1201,3101,purchase,,2026-05-01 07:56:41
2,3,7,purchase,,2026-05-02 10:31:12
3,3,7,purchase,,2026-05-04 07:17:28
4,2,7,purchase,,2026-05-06 09:38:21
5,1201,3101,purchase,,2026-05-07 18:56:41
6,1202,3102,purchase,,2026-05-07 21:10:00
7,1202,3101,purchase,,2026-05-08 01:56:41
8,1201,3102,booking,,2026-05-08 06:46:41
9,1201,3102,favorite,,2026-05-08 06:56:40
10,1201,3103,favorite,,2026-05-08 06:56:40
11,1202,3101,favorite,,2026-05-08 06:56:40
12,1202,3101,purchase,,2026-05-08 07:13:08
13,1202,7,booking,,2026-05-08 07:34:08
